"","News_2012.publishedAt","News_2012.title"
"1","2012-12-14T23:06:20.000Z","Shooting at Connecticut School Leaves Dozens Dead"
"2","2012-12-14T22:51:02.000Z","Law-Enforcement Officials React to School Shooting"
"3","2012-12-14T22:17:27.000Z","'Columbine' Author on School Shooting"
"4","2012-12-17T18:28:31.000Z","Funerals for First Two Shooting Victims to Be Held - Newtown School Shooting"
"5","2012-12-14T20:26:29.000Z","Connecticut Hospital Deals With School Shooting"
"6","2012-12-17T17:07:19.000Z","Sen. Lieberman on Gun Debate After Sandy Hook - Newtown School Shooting"
"7","2012-12-17T20:51:33.000Z","No Connection Between Shooter, Sandy Hook School"
"8","2012-12-14T23:01:51.000Z","How Children Experience Traumatic Events"
"9","2012-12-14T21:37:12.000Z","President Obama Reacts to Connecticut Shooting"
"10","2012-12-14T19:29:54.000Z","Officials Give Details Connecticut Shooting"
"11","2012-12-21T16:58:50.000Z","Code Pink Protester Disrupts NRA News Conference"
"12","2012-12-20T17:52:16.000Z","Smith & Wesson Drawn Into National Gun Debate"
"13","2012-12-17T18:26:17.000Z","Lawmakers Debate Gun Control Following Shooting"
"14","2012-12-14T19:40:31.000Z","Connecticut Shooting Leaves at Least 25 Dead"
"15","2012-12-17T18:35:24.000Z","Keeping Troubled Kids From Being Violent Adults"
"16","2012-12-21T06:54:44.000Z","A Brief History of the NRA"
"17","2012-06-29T18:41:24.000Z","columbine high school shooting, april 20, 1999"
"18","2012-12-07T00:07:06.000Z","Ardsley Shooting Suspect Caught"
"20","2012-12-15T04:12:23.000Z","Sandy Hook Elementary School Shooting: Why Did Adam Lanza Snap? - ABC News"
"22","2012-12-14T19:51:08.000Z","Newtown School Shooting"
"34","2012-12-07T05:41:10.000Z","Knicks vs Heat 2012: Despite no Carmelo, New York Shoots Lights Out from 3, Hands Miami First Home L"
"36","2012-08-25T00:02:08.000Z","James Holmes Talked Of Plan To 'Kill People' Before Aurora Shooting"
"37","2012-11-19T22:11:36.000Z","Down Zero - Shooting IDPA"
"38","2012-06-18T16:23:35.000Z","OLD SCHOOL 32-20 shooting plates"
"39","2012-08-23T16:45:16.000Z","Tire store shooting"
"40","2012-10-05T06:35:34.000Z","2 men shot in Salinas shooting"
"41","2012-06-03T14:26:49.000Z","Fajerwerki 000056 Confetti Pneumatic, Multicolor, 60cm Triplex"
"42","2012-10-27T01:50:36.000Z","Salinas man accused of raping girl pleads not guilty"
"43","2012-04-17T02:02:49.000Z","Cops: Salinas baby killed by hit-and-run driver"
"44","2012-11-08T03:34:25.000Z","Salinas Police Department employee accused of embezzling"
"45","2012-07-14T03:08:32.000Z","After Salinas churchgoer slain, leaders call for peace"
"47","2012-07-19T19:47:43.000Z","Ray Allen Shooting Drill - Basketball Shooting Drills"
"48","2012-01-22T14:06:31.000Z","Top Gun Jets II (1988)"
"49","2012-10-10T17:26:46.000Z","2012 10 06 07 00 20 Shooting of Dan McGrew"
"50","2012-07-24T15:42:06.000Z","♥steely dan♥ WITH A GUN  ♥8-bit♥"
"51","2012-12-16T09:34:47.000Z","27 Dead, Including 18 Children, At Sandy Hook School Shooting In Newtown"
"52","2012-12-12T06:26:00.000Z","Game Video - 2013 Ashley Robinson 12-10-12 (Jensen Beach vs. Westwood)"
"53","2012-07-27T20:34:42.000Z","Fabricating Running Boards - Project Pilehouse DIY Custom Running Boards at Eastwood"
"54","2012-09-19T06:27:48.000Z","Distinguished Revolver Championship at NRA's 2012 National Police Shooting Championships"
"55","2012-10-27T19:54:12.000Z","Davies Dunks"
"56","2012-04-06T17:02:44.000Z","Shooting Lessons with Larry Bird & Red Auerbach | HD"
"57","2012-07-21T16:32:23.000Z","Aurora Colorado Shooting - Gun Ban's Coming?"
"58","2012-05-03T16:19:18.000Z","Let's Play Grand Theft Auto San Andreas [HD] Part 78: Military Business"
"59","2012-12-14T19:07:37.000Z","27 dead including 18 children shooting in Newtown,CT Elementary School"
"60","2012-08-24T18:00:31.000Z","How To Roll Fenders - Ford Mustang - Eastwood"
"61","2012-11-23T07:41:16.000Z","Turin silver skiffs 2012"
"62","2012-05-28T21:16:38.000Z","Shooting for accuracy.  Some tips for pistol shooters"
"63","2012-05-04T15:04:56.000Z","Pearl Police Shooting Breaking News"
"64","2012-11-19T09:19:15.000Z","Brian Goins 2012 - 2013 Highlight Tape (Part 1)"
"65","2012-03-21T17:07:42.000Z","Colourful Airburst (red green yellow blue purple)"
"66","2012-05-16T07:43:39.000Z","2012 Central Valley IDPA Regional Champinship"
"67","2012-03-04T02:22:45.000Z","First Coast IDPA 3-3-12 Martin COF 2"
"68","2012-03-04T02:30:41.000Z","First Coast IDPA 3-3-12 Martin COF 5"
"69","2012-11-30T05:50:34.000Z","First Person Arcade Game"
"70","2012-05-28T05:25:04.000Z","IDPA Match Markham Park 05-26-12"
"71","2012-04-16T15:34:27.000Z","Kaboom Fireworks: Giant Saturn Missiles"
"72","2012-08-06T02:15:45.000Z","Prediction of Mass Shooting Oak Creek,WI plus Zombie Drug Scopolamine"
"73","2012-07-21T19:05:21.000Z","Using a 20"" AR in a CQB shooting match."
"74","2012-04-20T11:59:02.000Z","NGR%20-%20CCL%20Aindrita%20Rai%20Hot%20Photo%20Shoot%20Video"
"75","2012-07-26T05:00:52.000Z","The Nuns by Gerald Fierst"
"76","2012-12-22T20:00:41.000Z","32-20 Road TO Prestige episode 20: Lovin On My Stock"
"77","2012-06-18T16:45:13.000Z","Greg in 22 Class (Open)  4.80 Seconds"
"78","2012-11-29T06:24:00.000Z","NorthWest IDPA November 24 2012"
"79","2012-06-02T23:50:08.000Z","NWSA Oak Harbor IDPA 05/26/12"
"80","2012-07-24T03:54:31.000Z","WAYNE VID HINTS @ SHOOTING B4 IT HAPPENED"
"81","2012-11-21T15:44:19.000Z","T.J. Duckett at Thanksgiving Meal Drive"
"82","2012-05-07T18:23:47.000Z","IDPA GT 3"
"83","2012-08-27T20:26:05.000Z","26 08 2012   IDPA GT ZOMBIE RELOADED PISTA 3   PABLITO"
"84","2012-06-27T18:23:02.000Z","Let's Play Minecraft with Mods 25 - Kurz aber mit Folge"
"85","2012-04-02T14:22:03.000Z","mammootty in thiagarajar polytechnic college"
"86","2012-12-13T18:37:21.000Z","Washington Wizards vs Houston Rockets 12/12/12"
"87","2012-08-27T20:43:15.000Z","26 08 2012   IDPA GT ZOMBIE RELOADED PISTA 4  PABLITO"
"88","2012-03-24T07:04:34.000Z","howdah 20/50 perdesoli"
"89","2012-11-23T22:11:06.000Z","St anselms kid killed"
"90","2012-02-27T15:49:53.000Z","AASA Match 11 Feb 2012"
"91","2012-04-21T00:59:23.000Z","Denver 420 rally 2013 shooting **graphic** 18+ first person view of shooting"
"92","2012-04-18T08:09:07.000Z","BVPS 5 Honesty 2011 Part 2"
"93","2012-07-10T18:36:55.000Z","DIY Rifle Rack for Under $20"
"94","2012-01-15T01:00:07.000Z","Bank of America Calls Police on Occupy Yakima 1-14-2012"
"95","2012-03-31T22:49:15.000Z","ORIGINAL TABS pint shot riot -not thinking straight"
"96","2012-07-17T00:20:40.000Z","Shooting a 32-20 U.S Service CTGS pistol"
"97","2012-07-07T12:11:25.000Z","Let's Play Minecraft with Mods 31 - Ich taufe sie jetz Dia-Schlucht!"
"98","2012-11-16T20:27:21.000Z","Beretta Model 20 at 100 yds"
"99","2012-10-23T01:53:01.000Z","The Alex Jones Show 2012-10-22 Monday - Lew Rockwell - Pat Shannan"
"100","2012-04-18T07:57:05.000Z","BVPS 5 Honesty 2011 Part 3"
"101","2012-12-05T13:24:37.000Z","3d Select 2019 vs. Mad Dog"
"102","2012-06-17T18:20:05.000Z","Bandit 2019 LAX - Jake Yannes 1st Bandit Goal"
"103","2012-12-05T22:08:42.000Z","3d Select 2019 vs. Utah Starz"
"104","2012-01-28T16:00:34.000Z","It's Diarrhea!"
"105","2012-06-25T19:13:36.000Z","Let's Play Minecraft with Mods 23"
"106","2012-12-05T10:19:49.000Z","3d Select 2019 vs. LA Lazers (playoff)"
"107","2012-11-05T03:43:02.000Z","IDPA match Temple Gun Club 11-05-2012 4 of 6 stages"
"108","2012-12-13T14:29:52.000Z","121209 Orions @ Knights - End of game and Silver Streamers Shot"
"109","2012-03-04T21:25:40.000Z","March 4, 2012 KCW: IDPA @ New Holland Rifle and Pistol Club"
"110","2012-07-31T18:32:31.000Z","UFO's Aliens ? West Palm Beach July 31, 2012 is this a Warning? Tsunami? i dont know!"
"111","2012-03-14T21:12:19.000Z","26 02 2012 - 2a. fecha 1er. Torneo - IDPA GT 2012 - Pista 1 String 1 RADICAL.mp4"
"112","2012-06-13T01:48:35.000Z","Tuesday League Shoot 6-12-2012 at Sturm's Indoor Range Springdale, Ark."
"113","2012-08-07T05:35:49.000Z","IDPA-PERU : SAFFETY OFFICER COURSE"
"114","2012-06-24T20:34:53.000Z","Banana (Andrew) shooting Idpa Carbine match at GA Firing Line"
"115","2012-02-09T14:14:38.000Z","sarai alamgir pujnab sports festival Football match last Penalty"
"116","2012-08-20T03:18:25.000Z","Hollidaysburg IDPA 8/18/12"
"117","2012-05-16T19:15:37.000Z","Miami Trail Glades IDPA"
"118","2012-12-29T20:41:10.000Z","ar15 1000 yards 8 inch plate"
"119","2012-06-12T12:27:06.000Z","2012 Missouri State IDPA Championship - Darren Mulford - Stage 3"
"120","2012-10-02T10:32:14.000Z","Akron police bust a meth lab house right near my h"
"121","2012-11-18T21:31:52.000Z","S.T.A.R.T   H.O.A.G.S. Challenge"
"122","2012-01-20T06:44:42.000Z","Student attempting a controlled pair"
"123","2012-11-16T13:12:40.000Z","Trailer www.special-effects.be, uw partner voor confetti, streamers, Co² en andere effecten"
"124","2012-06-01T02:53:01.000Z","The Art of the Jump Shot"
"125","2012-11-12T22:42:39.000Z","Monica Goose Vogel Lacrosse 2012 Age11"
"126","2012-11-05T00:59:31.000Z","IDPA Shooting in Simsbury, CT"
"127","2012-03-20T03:41:59.000Z","Wounded Warrior Project IDPA Match.  March 18, 2012  Sparta, Illinois"
"128","2012-04-22T21:51:24.000Z","Idpa Cleveland tn"
"129","2012-04-25T20:10:00.000Z","confetti canon"
"130","2012-08-05T21:20:38.000Z","Sikh Temple Shooting 2012_ Police Chief Releases Initial Details From Oak Creek"
"131","2012-01-06T03:22:33.000Z","Pittsburgh Cops Beat Up Violinist Honour Student For Having A Bottle Of Mountain Dew"
"132","2012-12-15T06:47:14.000Z","Connecticut Gunman Reported to Have Used 2 Automatic Weapons in Shooting"
"133","2012-02-03T18:56:14.000Z","Example of a ""Good Cop""! ROGUE cops (e.g., NYPD) should take notes and learn a lesson!"
"134","2012-02-05T20:03:33.000Z","(02-04-2012) Al-Rastan | Homs | (GRAPHIC) Children shot by Assad forces"
"137","2012-03-08T07:34:30.000Z","Ratel 90 and SANDF Armour in Mock Battle Formation"
"138","2012-06-04T18:30:46.000Z","Episode 76 - IDPA Safety Officer Training"
"139","2012-10-20T06:07:35.000Z","One Direction - Maths Song"
"140","2012-01-16T10:54:46.000Z","file:///C:/Users/user/Desktop/anigif.gif"
"141","2012-04-20T12:29:39.000Z","Hot%20Desi%20First%20Night%20Scene%20-%20XNXX.COM"
"142","2012-05-31T09:40:44.000Z","Sunny%20leone%20Porn%20%20%20HD%20Movie"
"143","2012-07-30T17:57:28.000Z","*NEW* EXCLUSIVE INFORMATION ON JAMES HOLMES CHARGES"
"144","2012-07-30T17:52:30.000Z","*NEW* JAMES HOLMES CHARGES DETAILS"
"145","2012-07-30T17:54:12.000Z","*NEW* CHARGE DETAILS  AGAINST COLORADO SHOOTER"
"146","2012-07-30T17:58:33.000Z","*NEW* DARK KNIGHT SHOOTER CHARGED"
