"","word","freq"
"school","school",2541
"shooter","shooter",1049
"drill","drill",937
"kids","kids",838
"gun","gun",627
"door","door",611
"teacher","teacher",607
"lockdown","lockdown",605
"shooting","shooting",570
"drills","drills",523
