"","word","freq"
"school","school",2116
"shooter","shooter",871
"kids","kids",662
"drill","drill",651
"gun","gun",607
"shooting","shooting",526
"drills","drills",518
"door","door",496
"teacher","teacher",450
"teachers","teachers",391
