"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"40","DDg7LjZ7lZQ","2014-04-03T22:47:20.000Z","UCJmSX7ghommK3pwMLGNUvPA","Fort Hood Gunman's Attack Mystifies Hometown","He grew up in Puerto Rico and played percussion in his high school band. He spent a decade working as a police officer and serving in the National Guard, part of that time as a peacekeeper...","https://i.ytimg.com/vi/DDg7LjZ7lZQ/default.jpg","120","90","https://i.ytimg.com/vi/DDg7LjZ7lZQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DDg7LjZ7lZQ/hqdefault.jpg","480","360","Wochit News","none"
"41","sT9hj8NsJv8","2014-07-16T16:00:02.000Z","UCgCudMsK-kxYxB2RgiS3bzQ","Game Night | Family Guy | TBS","Watch Family Guy weeknights on TBS. SUBSCRIBE: http://bit.ly/TBSSub WATCH AMERICAN DAD: http://www.TBS.com/shows/American-Dad.html WATCH MORE FAMILY GUY: http://www.TBS.com/shows/Family-Guy.html...","https://i.ytimg.com/vi/sT9hj8NsJv8/default.jpg","120","90","https://i.ytimg.com/vi/sT9hj8NsJv8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/sT9hj8NsJv8/hqdefault.jpg","480","360","TBS","none"
"42","6Iz8Be2F8D0","2014-05-21T16:15:56.000Z","UCczrL-2b-gYK3l4yDld4XlQ","Cops fatally shoot man in Salinas, California","Warning: Graphic content Video courtesy: https://www.facebook.com/yoanna.prieto Salinas, California police officers claim they had to use lethal force on a man who didn't obey their orders...","https://i.ytimg.com/vi/6Iz8Be2F8D0/default.jpg","120","90","https://i.ytimg.com/vi/6Iz8Be2F8D0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6Iz8Be2F8D0/hqdefault.jpg","480","360","RT America","none"
"43","ckMYM-TSJ74","2014-06-07T14:03:35.000Z","UCJmSX7ghommK3pwMLGNUvPA","College Student Disarmed Seattle Gunman","Seattle police said, a lone gunman armed with a shotgun opened fire Thursday in a building at a small Seattle university, fatally wounding one person before a student subdued him with pepper...","https://i.ytimg.com/vi/ckMYM-TSJ74/default.jpg","120","90","https://i.ytimg.com/vi/ckMYM-TSJ74/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ckMYM-TSJ74/hqdefault.jpg","480","360","Wochit News","none"
"44","gEo5CCgJJ4A","2014-06-06T23:20:19.000Z","UCJmSX7ghommK3pwMLGNUvPA","Police: College Student Disarmed Seattle Gunman","Police said, a lone gunman armed with a shotgun and knife opened fire Thursday in a building at a small Seattle university, fatally wounding one person before a student subdued him with pepper...","https://i.ytimg.com/vi/gEo5CCgJJ4A/default.jpg","120","90","https://i.ytimg.com/vi/gEo5CCgJJ4A/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gEo5CCgJJ4A/hqdefault.jpg","480","360","Wochit News","none"
"45","N0w4KZKXnJo","2014-08-26T06:08:32.000Z","UCJmSX7ghommK3pwMLGNUvPA","Mourners Urge Black Americans To Take Action","The mourners filled an enormous church to remember Michael Brown — recalling him as a ""gentle giant,"" aspiring rapper and recent high school graduate on his way to a technical college. But...","https://i.ytimg.com/vi/N0w4KZKXnJo/default.jpg","120","90","https://i.ytimg.com/vi/N0w4KZKXnJo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/N0w4KZKXnJo/hqdefault.jpg","480","360","Wochit News","none"
"46","PYdD02v6JPg","2014-08-20T22:04:27.000Z","UCJmSX7ghommK3pwMLGNUvPA","Holder Pledges Top Investigators For Ferguson","Attorney General Eric Holder has told Ferguson community leaders that he has assigned the federal government's ""most experienced agents and prosecutors"" to the investigation of a white police...","https://i.ytimg.com/vi/PYdD02v6JPg/default.jpg","120","90","https://i.ytimg.com/vi/PYdD02v6JPg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/PYdD02v6JPg/hqdefault.jpg","480","360","Wochit News","none"
"47","28R-LNsGSto","2014-07-29T12:28:16.000Z","UCL40tu5B1_5yqJTv6C3TAYQ","Behind The Arc #3","Tre Davis Wilson High School #20 Shooting Guard.","https://i.ytimg.com/vi/28R-LNsGSto/default.jpg","120","90","https://i.ytimg.com/vi/28R-LNsGSto/mqdefault.jpg","320","180","https://i.ytimg.com/vi/28R-LNsGSto/hqdefault.jpg","480","360","Davis Clan","none"
"48","otP7bnY3CAU","2014-10-31T13:51:24.000Z","UCJmSX7ghommK3pwMLGNUvPA","Captured: Manhunt Ends For Trooper Ambush Suspect","They searched for him in impenetrable woods and forbidding caves, in schools and vacation homes and even in a roadside clothing donation bin, all the while hoping that ambush suspect Eric Frein...","https://i.ytimg.com/vi/otP7bnY3CAU/default.jpg","120","90","https://i.ytimg.com/vi/otP7bnY3CAU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/otP7bnY3CAU/hqdefault.jpg","480","360","Wochit News","none"
"49","2lTnmdRc2BM","2014-06-06T18:09:51.000Z","UCJmSX7ghommK3pwMLGNUvPA","Students Helped Stop Gunman At Seattle University","Seattle Pacific University has confirmed the identity of the student who stopped a gunman on campus, possibly saving lives. Jon Meis (MEES') was acting as a student building monitor Thursday...","https://i.ytimg.com/vi/2lTnmdRc2BM/default.jpg","120","90","https://i.ytimg.com/vi/2lTnmdRc2BM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2lTnmdRc2BM/hqdefault.jpg","480","360","Wochit News","none"
