"","News_2016.publishedAt","News_2016.title"
"69","2016-05-11T19:01:55.000Z","Movie theater security at stake in Colorado trial"
"70","2016-06-02T20:40:06.000Z","Sinister Details Emerge After Murder-Suicide on UCLA Campus"
"71","2016-07-07T17:06:52.000Z","Video of Minnesota police killing man in car goes viral"
"72","2016-10-05T17:34:04.000Z","LAPD Chief Released Video of Carnell Snell Citing Public Interest"
"73","2016-06-03T03:04:14.000Z","UCLA Shooter Had Kill List"
"74","2016-10-19T20:46:28.000Z","NY Mayor: Police Shooting Of Mentally Ill Woman Unacceptable"
"75","2016-07-08T12:24:52.000Z","Mother of Philando Castile: ""This has to stop, right now"""
"76","2016-04-26T15:02:22.000Z","Ohio victim's dad notes that killer was able to get by dogs"
"77","2016-04-22T17:43:35.000Z","Rural Ohio Shootings Yield Multiple Fatalities But Little Details"
"78","2016-07-30T14:41:20.000Z","Shooting In The Suburb Of Seattle Has Left 3 Dead And 1 Injured"
"79","2016-05-08T16:40:05.000Z","Police Report No Remorse From Federal Officer Charged in Shooting Spree"
"80","2016-04-22T21:10:40.000Z","Death Toll Grows to Eight in Horrific Ohio Massacre"
"81","2016-08-25T03:20:51.000Z","Soldier Who Murdered 5 Dallas Police Officers Asked For Help For PTSD"
"82","2016-07-07T18:31:08.000Z","Man Killed By Minnesota Police"
"83","2016-06-10T14:00:01.000Z","Simple Portraits: You Keep Shooting with Bryan Peterson"
"84","2016-10-26T17:11:48.000Z","Officers On Leave After 2 Suspects Killed at Maryland Motel"
"85","2016-09-26T20:58:29.000Z","Mall Shooter Goes Before Judge Monday"
"86","2016-06-02T15:27:45.000Z","UCLA Murder-Suicide Shooter Identified"
"87","2016-04-23T23:24:25.000Z","Ohio: Search Continues For Killer Of 8 Family Members"
"88","2016-06-18T00:04:19.000Z","FBI Director Travels To Orlando To Thank Investigators"
"89","2016-09-26T18:34:54.000Z","Mall Shooter Remembered as Obnoxious and Rude"
"90","2016-06-01T20:11:22.000Z","Police Respond to Shooting at UCLA Campus"
"91","2016-07-25T16:38:31.000Z","Gunfire at Florida teen nightclub party leaves 2 dead, 17 wounded"
"92","2016-09-21T17:26:24.000Z","Loretta Lynch Announces Investigations Into Police Shootings"
"93","2016-05-18T16:53:30.000Z","Midtown Manhattan Police Shooting Leaves 1 Dead, 1 Injured"
"94","2016-07-08T16:21:32.000Z","5 Dallas officers slain, deadliest day for police since 9/11"
"95","2016-07-12T20:15:20.000Z","Dallas Shooter Had Many Guns On Him"
"96","2016-09-25T12:39:03.000Z","Police Describe Mass Shooter As 'Zombie-Like'"
"97","2016-07-08T15:29:26.000Z","After Shooting, Black Gun Owners Are Unsure How They Will Be Treated"
"98","2016-04-23T12:40:01.000Z","Still No Suspects Caught in Ohio Murder Rampage"
"99","2016-12-09T21:52:23.000Z","CDC Data On Accidental Shootings of Kids Found to Be Lower That Stated"
"100","2016-07-25T17:57:04.000Z","Two Still in Critical Condition Following Florida Shooting"
"101","2016-07-13T18:57:12.000Z","50% Of 2016 Arrests At A St. Paul PD Have Been Black"
"102","2016-04-01T19:21:30.000Z","Greyhound Shooter Identified"
"103","2016-02-18T20:14:08.000Z","California Gunman's Brother's House Searched..."
"104","2016-06-01T20:21:40.000Z","Shooting Erupts on UCLA Campus"
"105","2016-06-01T21:14:13.000Z","UCLA Campus Declared Safe by LAPD After Shooting"
"106","2016-06-01T21:17:32.000Z","LAPD Clears UCLA Campus After Shooting"
"107","2016-07-25T11:33:43.000Z","2 Killed As Tragedy Strikes Another Florida Nightclub"
"108","2016-07-08T15:57:17.000Z","Paul Ryan: Remember 'Our Common Humanity'"
"109","2016-06-01T22:23:08.000Z","Officers Swarm UCLA After Murder-Suicide"
"110","2016-01-08T15:00:00.000Z","Fence Portrait: You Keep Shooting with Bryan Peterson"
"111","2016-08-08T21:52:42.000Z","Fatal Shooting After 'Hoodlums' Complaint"
"112","2016-02-23T00:10:48.000Z","Uber Received Complaints About Shooting Suspect"
