"","X.1","X","all_comments.authorDisplayName","all_comments.likeCount","all_comments.textOriginal","all_comments.publishedAt"
"1",1,1,"Erza Scarlet",0,"Evry time i hear somthing like this my hope in people die a little bit more_ÌâåªÌâåÉÌâå¢

WHY !!! WHY !!!WHY HE KILL THIS PEOPLE. THEY DO NOTHING SO WRONG,THAT HE NEED TO KILL THEM!!!_ÌâåªÌâåÉ_
I will never forget this horrible accident","4/22/18"
"2",2,2,"Autumn Dulong",0,"So the shooter has the same birth month and year as mine. (September 1998)

Shit.","4/22/18"
"3",3,3,"Elena Lopez",0,"I feel so bad. This happened on my birthday, Valentine's day is my birthday. I never get a chance to make a birthday wish. If I knew this was going to happen, my birthday wish would be, I wish everyone would stay alive and be ok. I wish nothing bad happen like this..._ÌâåªÌâåÉÌâåÓ_ÌâåªÌâåÉÌâåÓ_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉÌâå£","4/22/18"
"4",4,4,"Delisha Records",0,"Oh gawd i fell bad for all of them god pray for them","4/22/18"
"5",5,5,"*linx#paw*",0,"Shoot him 19 times of how many people he killed in cold blood","4/22/18"
"6",6,6,"ameya oola",0,"18 school shootings in first 2 months of 2018 lol..

america is such a shithole","4/22/18"
"7",7,7,"ameya oola",0,">be american
>get shot","4/22/18"
"8",8,8,"Biancla Schmlakintyre",0,"Screw him","4/22/18"
"9",9,9,"Leslie G",0,"this is so sad I saw died kids","4/22/18"
"10",10,10,"VAMPIREX 2017",1,"THEY'RE NOT IMAGES, THEY'RE VIDEOS, THERE'S A BIG FUCKING DIFFERENCE","4/22/18"
"11",11,11,"Santana Jackson",1,"HereÌâå_ÌâåÑÌÄåös the thing all the schools are taking god out of the System and now horrible stuff like this happens like if you agree","4/22/18"
"12",12,12,"Chloe Simonds",0,"i hope he gets ass-raped in jail or even better, executed.","4/21/18"
"13",13,13,"Gaming With Ada",0,"That nineteen year old should be _ÌâåªÌÄå»ÌâåÑ dead he is sooo dead if I was the officer i am just gonna kill him","4/21/18"
"14",14,14,"Jeff21killer Sep",0,"Why sell military type weapons to the public then you could stop more shootings like this one since they mainly use assault rifles in them","4/21/18"
"15",15,15,"Hedgehog 32 Gammer",0,"IÌâå_ÌâåÑÌÄåöm 12 years old and my school did a shoot out drill with a fake shooter and when he came through the door I straight up talked him.



I found out it was a drill and he has a bloody nose :(","4/21/18"
"16",16,16,"isaiah grant",0,"Who cares","4/21/18"
"17",17,17,"isaiah grant",0,"Dead body at 5:49","4/21/18"
"18",18,18,"abby button",0,"these are so scary_ÌâåªÌâåÉ_","4/21/18"
"19",19,19,"Thomas Viklund",0,"Gun control!!! Dont have guns here in sweden= we dont have a single school shooting. Face it guns are made for one thing. Im sorry for the kids and parents","4/21/18"
"20",20,20,"shamrocksimsie",0,"This all makes me so sad and terrified when will we get change?!","4/21/18"
"21",21,21,"The Never 100%er",0,"Top safest community in America my ass.","4/21/18"
"22",22,22,"Lia Larsen",0,"I pray that all those lost in this horrific accident may rest in peace for they are out of this terrible world...","4/21/18"
"23",23,23,"Angie Martinez",0,"It was very terrible _Ìâåª__","4/21/18"
"24",24,24,"Djamel Draifia",0,",???,?,,????????????","4/21/18"
"25",25,25,"Naemah Mohd Sherif",0,"Omg this is impasible","4/21/18"
"26",26,26,"Magically Minty",0,"Watashi no namae GENKI desu~~~~","4/21/18"
"27",27,27,"The Citizen",0,"17 only????

Americunts need more to learn","4/21/18"
"28",28,28,"Christina Powell",0,"Me and my best friends have no classes together so ebery day im class it goes through my mind!And all i think about is attaking the shooter so no one qould get hurt if if it ment me getting hurt","4/21/18"
"29",29,29,"Victoria Salazar",0,"Bro I'm in elementary school and it's Hella scary","4/21/18"
"30",30,30,"TurkeyWiing Guru",1,"I guess they don't have to dream about drinking liquor because they all took a *shOT* together 
Although some before others","4/21/18"
"31",31,31,"STRONG DYNAMO",0,"Right after he said these images may be disturbing I paused the video so quickly","4/20/18"
"32",32,32,"Wolf MSP",0,"I live in Florida and I'm in 4th grade_ÌâåªÌâåÉÌÄåà and my bff is scars for school shooting its was  codes  it dept saying code red code red I was scars too_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ_","4/20/18"
"33",33,33,"Shery Nasir",0,"Found Some More Info   http://velociterium.com/8ZWD","4/20/18"
"34",34,34,"clorox bleach",0,""" today was the worst in humanity "" worst has happened and could not even compare to this pal","4/20/18"
"35",35,35,"Enrique Estrada",0,"3:08 that right there was when they were really scared to death","4/20/18"
"36",36,36,"Muhammad Rahadiansyah",0,"Wtf is wrong with American education?","4/20/18"
"37",37,37,"Anonymous",0,"I don't understand that people should learn by now not to make fun of people cuz this could happen to them most recent school shootings happen is from bullying but yet no one mentions it","4/20/18"
"38",38,38,"cmc 3131",0,"If people have a medical or heath problem why are we giving them guns?","4/20/18"
"39",39,39,"FU CCBOY",0,"Fuck the shooter","4/20/18"
"40",40,40,"Ìâå ÌÄåÝÌâåªÌâå ÌÄåÝ_Ìâå ÌÄåÝÌâå_Ìâå ÌÄåÝ_Ìâå ÌÄåÝ_Ìâå ÌÄåÝ_Logan",0,"being a young student myself all of these shootings happening just scare me","4/20/18"
"41",41,41,"Petelo Fine",0,"I ain't racist but why is always white kids shooting up schools, so STUPID.","4/20/18"
"42",42,42,"Doge McDogerson",0,"lmao","4/19/18"
"43",43,43,"heavy metal",1,"Never felt that lucky to live in canada (gun should be ban) no one need an assault rifle at home","4/19/18"
"44",44,44,"lucy armstrong",0,"why didn't cops shoot him","4/19/18"
"45",45,45,"Honest Vega",0,"*OH SHIT!*
THIS IS SO FUCKING MESSED UP!!!!!","4/19/18"
"46",46,46,"BEST AND WORST 4s",1,"Pumped up kicks 
Out run my bullet","4/19/18"
"47",47,47,"malachi Mckelvey",0,"Sorry for the people who died.","4/19/18"
"48",48,48,"xAshlayia",0,"They just donÌâå_ÌâåÑÌÄåöt.. they donÌâå_ÌâåÑÌÄåöt deserve it :( everyone deserves a chance to live a life.. I donÌâå_ÌâåÑÌÄåöt know why you would try to kill people when youÌâå_ÌâåÑÌÄåöll get arrested afterwards..","4/19/18"
"49",49,49,"BigDog",0,"murica","4/19/18"
"50",50,50,"Markie Animations",0,"Tips for surviving a gun attack in school:
Master Ultra Instinct","4/19/18"
"51",51,51,"Momo-nataski",0,"As I was in this shooting, Lord help my friend Sarah.","4/19/18"
"52",52,52,"Talha Sajjad",0,"Isn't he a terrorist too?","4/19/18"
"53",53,53,"Cookiemonster83",0,"So sad I hope this never happenens to me and I wish that people would not do this to others","4/19/18"
"54",54,54,"ice got games",0,"All the other kids with the pumped up kicks","4/19/18"
"55",55,55,"Diana Martinez",0,"One time we were eating lunch IÌâå_ÌâåÑÌÄåöm in 5th and we eat with 1st the cafetera has now infle then they have a code red then everybody starts panicking we could hear the bullets it was right next to our school","4/19/18"
"56",56,56,"Cesar Izaguirre",0,"Did you get  to  arrested  shooter","4/19/18"
"57",57,57,"Berry 1",0,"Why is horrific in quotation marks? Are you serious?","4/19/18"
"58",58,58,"kitty lover 2000",0,"R.I.p students who died _ÌâåªÌâåÉÌÄå©","4/19/18"
"59",59,59,"Hip Cookie Man",0,"why the hell is there quotes around horrific?","4/19/18"
"60",60,60,"Ryan Last",0,"I thought all lives matter","4/19/18"
"61",61,61,"SavagePanda845",0,"2018 is gonna be a great yea- * Sees video *","4/18/18"
"62",62,62,"Brianna Longville",1,"Even if u ban the FUCKING guns, there are still knives and other shit u can use to kill people so what is the whole fucking point of banning","4/18/18"
"63",63,63,"Julian b 10",0,"if i was there i would risk my life to save the kids like if agree","4/18/18"
"64",64,64,"LilYachty",0,"ScheiÌâåÕÌâåª auf sicherheit erstmal n snap abschicken, famegeile bastarde","4/18/18"
"65",65,65,"Bridget Talbot",1,"Three Rivers had a shooting in aimed at the high school and middle school so they closed all schools
 Like if you live in Three Rivers","4/18/18"
"66",66,66,"SiDnIx GT",1,"I was shocked when i saw this
I would be able to miss someone","4/18/18"
"67",67,67,"LV Productions",0,"https://www.youtube.com/watch?v=ZLj_DWgKij4
Marjory Stoneman Douglas High School Tribute Video","4/18/18"
"68",68,68,"The UK Sexy",0,"Fuck ugly disgusting bitches. Crying whores ( moms and students ).","4/18/18"
"69",69,69,"Jackie",0,"That exact day, I got a text from my friend, that said ""Talk to ya after school!""
Needless to say, I never got a text from her again, since this school schooting cancelled her plans.
I figured out what happened once I opened a message from her mother, saying she died..

Yeah, screw this Cruz guy","4/18/18"
"70",70,70,"Jonyoh",0,"Damnit. Now I don't feel like going to school","4/18/18"
"71",71,71,"LazyGodOG - X",1,"1like=1prayer R.I.P 17 ones thst died","4/18/18"
"72",72,72,"Gran's Unit",0,"Those kids at 3:41 would have known the victims","4/18/18"
"73",73,73,"UniDraGuine",0,"how would you be surprised when a 5 year old could buy a gun on its own. let alone a 19year old.....christ","4/18/18"
"74",74,74,"Enrico Estrellado",0,"Kids... And parents just don't enroll your kids in a huge school... That way.. the said shooters won't come at your kid's school... Enroll them in a small one..  there would still be chances that a shooter would come and start shooting people.. but minimized...","4/18/18"
"75",75,75,"Hegg Official",0,"So sad, but it just proves america you really are the stupidest country in the world. Keep your guns, keep making innocent people die all the time, then blame it on ""mental health"", its your country that is mental.","4/18/18"
"76",76,76,"Rufcat2 The killa",0,"IÌâå_ÌâåÑÌÄåöm sad and scared. IÌâå_ÌâåÑÌÄåöm still in school. We try to stop this, and show independence, yet the government does nothing.","4/18/18"
"77",77,77,"LiamGamingMastr",0,"3:40 I knew that had to be a dead body. I bet you that was one of the kids closest friend. And plus the boy was almost practically throwing up.","4/18/18"
"78",78,78,"weeb cunt",0,"Lol","4/18/18"
"79",79,79,"LorainaTDM",1,"R.I.P to all the victims","4/18/18"
"80",80,80,"Ryloyolo 8000hq",0,"I want to punch that shooter in the face so bad","4/17/18"
"81",81,81,"Gina Ramirez",0,"Po","4/17/18"
"82",82,82,"memelord",0,"AAAALLLLLLL THE OTHER KIDS WITH THE PUMPED UP KICKS YOU BETTER RUN, BETTER RUN, OUTRUN MY GUN","4/17/18"
"83",83,83,"PungiFungi",0,"You are reaping what you sow, America. There is something inherently wrong with our culture today that our men and boys are now snapping and shooting up people en masse. Of course, we take the easy route out: BAN GUNS. Never mind the issues at hand because men and boys do not matter.","4/17/18"
"84",84,84,"Tanks tu",0,"Is it bad I have a gun in case that happens?



I think it is..","4/17/18"
"85",85,85,"Boi Boi",0,"Why they didnt try putting book in the bag as kevlar or try to make a molotove after they have a science lab or throw all chairs at him at once","4/17/18"
"86",86,86,"jdog345ful",0,"Best try not to laugh challenge video ever. I started laughing when the first body dropped","4/17/18"
"87",87,87,"teh_ ompperei",0,"I need the best explonation why is this happening? I feel so lucky that in my country this never has happened, also i feel bad for those families who lost their children for no reason. Innocent harmless children never did anything to the shooter.","4/17/18"
"88",88,88,"Gabriela Faria",0,"I cried so hard ... I can only imagine if this happens to my school","4/17/18"
"89",89,89,"om raj",0,"Can he come to my school.","4/17/18"
"90",90,90,"_Ìâå¥ÌâåÜÌâåÑÌâåÜÌâå_Ìâåâ_Ìâå__ÌÄåª",0,"They should have beat him do death on sceane","4/17/18"
"91",91,91,"XxWolfie fangirlxX :3",1,"Atleast it wasn't elementary right?? _ÌâåªÌâåÉÌâå¢But seriously must have been SUPER terrifying and I hope people who survived still lived. And for those who didn't.... May they rest in peace _ÌâåªÌâåÉÌâå¢_ÌâåªÌâåÉÌâå¢_ÌâåªÌâåÉÌâå¢","4/17/18"
"92",92,92,"Manga Girl YT",0,"Its the flipping shooter games! Even if you do play shooter games, the people that are acting like its real life are the people you have to worry about! Btw, if your ever in this type of situation and you have a nearby store or shop such as Wal-Mart, get there as fast as you can with a group of friends, you never know when you may run into a weirdo and need friends by your side!","4/17/18"
"93",93,93,"yehya geez",1,"All the families who lost loved ones will be in my prayers","4/17/18"
"94",94,94,"Jacklyn :3",0,"Honestly..... Just... I can't..... I can't say how I feel... That kids.. Die and its just heartbreaking I can't .... Prayers for the parents that have lost there loved ones...","4/16/18"
"95",95,95,"Ethan Nolan",0,"Swat member with shorts. Makes sense","4/16/18"
"96",96,96,"Vaness Jones",0,"This guy is stupid. I can't belevie he wants to end people lives. The people who got hurt or killed has no reason to be like that. Now People in heaven or in the hospital is now suffering from the injures from this kid who was 19. The moral of the shooting is to never end someone live even though u don't know them. Don't do anything stupid like this. This was a bad choice to make. This kid put his life in jeopardy now this kid in jail for killing beautiful,kind, caring children. So please don't put your life in danger or in jeopardy like him. Thank you.","4/16/18"
"97",97,97,"010101 error",0,"Who would win?
A building made to teach people 
Or 
One shooty boi","4/16/18"
"98",98,98,"Ajinu BABU",0,"Don't know why am I crying...just feel so bad for poor lives who lost all their dreams ...RIP my dears","4/16/18"
"99",99,99,"I needed that",0,"Honestly I dont really care whatever personal problems the shooter had. Surely those 17 lives were much more important and meaningful than his.","4/16/18"
"100",100,100,"Some Llama",0,"People who do those things deserve to be tortured and die super slow","4/16/18"
"101",101,101,"Clayton Vaughn",1,"heavy metal ok assualt rifle isn't a real term however it is often described as a full auto rifle. Not semi automatics","4/20/18"
"102",102,102,"heavy metal",0,"Clayton Vaughn automatic and semi auto rifle","4/20/18"
"103",103,103,"Clayton Vaughn",0,"heavy metal what is a assault rifle?","4/20/18"
"104",104,104,"Clayton Vaughn",0,"lucy armstrong he didnt resist","4/20/18"
"105",105,105,"malachi Mckelvey",0,"And sorry for my offensive comments mocking the people who died.","4/19/18"
"106",106,106,"Clayton Vaughn",0,"UniDraGuine a 5 year cant buy a gun and being 18 to buy a gun is reasonable","4/20/18"
"107",107,107,"Hegg Official",0,"yeh highest ""legal"" gun ownership...simpleton. Not many african american and latino gangs in Sweden is there? haha your so stupid. ""we banned drugs and many people have them"" ....yeh because Ice is so great when people have it, and meth? idiot.   ""we cant ban guns because it violates our rights"" but guns can be banned because like i said my country and many others have done so and there weren't any other mass murders again...how oblivious are you kid?  and let me guess your going to give me the whole ""its in our amendment blah blah blah, its called an amendment for a reason you know kid, every country has one, just because america makes big deals over the littlest things doesn't mean they're big deals :) 
im guessing your still in school? by the lack of intelligence you have thats my guess anyway, i hope the next one happens in your school :) see how great it is to ""have rights"" to own a gun","4/21/18"
"108",108,108,"Clayton Vaughn",0,"Hegg Official look at Sweden highest gun ownership but lowest murder rate. And we banned drugs and many people have them. And we cant ban gun because it violates our rights","4/20/18"
"109",109,109,"Hegg Official",0,"hahah yes it will, thats the lamest excuse. Many countries have done this, and have stopped mass murders. 
Yes theirs going to be people with guns still, but your murder rate of your whole nation would drop enormously. If you dont see that, your an idiot. I wouldn't be surprised if you were though, a lot of americans are simple :)","4/20/18"
"110",110,110,"Clayton Vaughn",0,"Hegg Official banning guns wont get rid of guns","4/20/18"
"111",111,111,"Clayton Vaughn",0,"PungiFungi how is this a male problem","4/20/18"
"112",112,112,"Clayton Vaughn",0,"Manga Girl YT video games arent the problem","4/20/18"
"113",113,113,"Too Wheels",0,"Bitches talk allllll the bullshit  till it's the final countdown","4/16/18"
"114",114,114,"Misheel Khurelbaatar",0,"And wow it wa son Valentines day","4/16/18"
"115",115,115,"Hussain",0,"More guns in AmericaÌâå_ÌâåÒ_","4/16/18"
"116",116,116,"jamjamlui",0,"where are the school bullies at this school..? u piss panting wimp !!!! not so tough aye i hope u fuckeeeerssss were the ones that got shoooottttttt!!!!!!!","4/16/18"
"117",117,117,"Jr. Napa321",0,"Did anyone notice the swat guy at 5:16 was pointing the gun at a kid","4/16/18"
"118",118,118,"Blue Studios",0,"Clapping and laughing non stop","4/16/18"
"119",119,119,"GVLP",1,"When you mess up on Kahoot","4/16/18"
"120",120,120,"XRageX10",1,"Literally nothing has happened since, no actions have been taken, the simple answer is America, get rid of the guns, no guns, no school shootings","4/15/18"
"121",121,121,"Doy Amaya",0,"I am sorry thar i let u down i feel bad","4/15/18"
"122",122,122,"Scorpion MLG",0,"Ok lets be honest this kid might be bullied by the pupils and he had to do it tbh if it was me I would fight but not kill but if it gets so serious and when you tell someone about it and they give no fuk that you are being abused by these pupils and bullied is just cruel beond levels its HEARTBREAKING  it may lead to this tbh it happened to me I got bullied so much in UK just because I was iraq teen ... and told my teacher she gave no fuk and said leave them alone and when she asked them why are you bullying me they said he is a lair and ofc the son of a nation believes another even tho she can see it  so I kept being bullied till one of them slapped and punched me ...  you know when you lose yourself to your soul you know its ganna go like hell so I left my soul and went to the guy and slammed his head into a piece of hard wood on a fence and then kept punching him in the back of his head and his neck so he is bleeding from his head   and then I grabbed him and pushed him on the wire fence Oh it felt good so he got knockedout his other friends that helped him bully me just stood there just like have seen a ghost then my tember came back and then walked back to class as i walked a teacher said to me why did you do it  and I looked at her and gave her the eye I looked deep in her eyes and said  Don't try to look that you don't know anything because you seen  it all so don't try it and went to class tgen next day I get detention for 2 hours and he gets nothing at that time I just wanted to murder him and his friends it seems like I look like a insane human but I am not because I didn't kill them I was thinking to tho because my ego was done everyone hated me for beating him up ...  then I left the town and went to another one i  got be friends  with the guy who I beat and who bullied me I still didn't like him but i don't hate him anymore .. yeah I doubt that you guys feel the same thing is this happened to you over and over ...","4/15/18"
"123",123,123,"Derpy Hooves",0,"Lemoney SnibkietÌâå_ÌâåÑÌâåÓschool should be a save place


MeÌâå_ÌâåÑÌâåÓNOPE","4/15/18"
"124",124,124,"ThePsychicDoll",0,"Ive been called a school shooter cause I'm emo if there was a school shooting and I survived they would automatically call me the shooter most likely...","4/15/18"
"125",125,125,"Inesh Lutchmee",0,"RIP TO ALL OF THE FALLEN LIKE THIS COMMENT HOPE THEY ARE IN THE PARADISE BUT THE SHOOTER IN THE DEEP HEAVEN _ÌâåªÌâåÉÌÄå¢_ÌâåªÌâåÉÌÄå¢_ÌâåªÌâåÉÌÄå¢_ÌâåªÌâåÉÌÄå¢_ÌâåªÌâåÉÌÄå¢_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉÌÄå´_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉÌÄå´","4/15/18"
"126",126,126,"tobin saneesh",0,"let just gangbang on them","4/15/18"
"127",127,127,"Mr Mayonaise",0,"Sometimes Y'all Say The Shooter Is Wrong But Hey He Got A Bad Social Life And He Tryna Fixing It But Anyone Wont Support Him.","4/15/18"
"128",128,128,"Cheeki Breeki",2,"I wonder why this never happens in Europe. Oh wait, people can't buy guns at Walmart.","4/15/18"
"129",129,129,"vojox",0,"I hate American thay bombarded us 1999 but I can this is so emotional I'm so sad and when I see some monster like this guy I would like to let him die without food or water or I don't know just kill him","4/15/18"
"130",130,130,"Zi9makin6",0,"18 SCHOOL SHOOTINGS IN 2 MONTHS. ThatÌÄå_Ìâåâs insane. How and why do people defend the right that anyone can own a firearm.","4/15/18"
"131",131,131,"Bob Maley",0,"fuck america","4/15/18"
"132",132,132,"Bob Maley",0,"you american people do this to yourself","4/15/18"
"133",133,133,"Chloe Richardson",0,"This is sad cause I always watch this I watch it beacuse my twin Brother actually got shot _ÌâåªÌâåÉÌâå¢ he got shot cause we where in the same class and BOOM BOOM BOOM my brother was like a shield protecting me to not get shot or hurt _ÌâåªÌâåÉÌâå¢_ÌâåªÌâåÉ__ÌâåªÌâåÉ_ I always will love you Austin R.I.P","4/15/18"
"134",134,134,"Eliah",0,"Rainbow Six Siege new DLC map?","4/15/18"
"135",135,135,"Spring Wave25",0,"Ofc hes white.... white kids think schools are shooting ranges","4/15/18"
"136",136,136,"Asuna yui",0,"2:51 if u look on the right u can see someone's hands shaking like crazy _ÌâåªÌâåÉ_ poor baby","4/15/18"
"137",137,137,"Tyler Phillips",0,"God bless the ones lost","4/15/18"
"138",138,138,"Tyler Phillips",0,"Man ugly ass hell","4/15/18"
"139",139,139,"alissa danko",0,"omg that is so scary!! and 17! my class has 27 students ! so  half  oh my gosh im so shocked who will do that oh i know nik cruz!","4/15/18"
"140",140,140,"Emily Gustin",0,"Why do we do this to each other?These poor kids we shouldnÌâå_ÌâåÑÌÄåöt be able to do this to these kids who just want an education!","4/15/18"
"141",141,141,"Potions Master",0,"I saw the police carrying out a girl in a classroom, has she been wounded?

The cries from the students in the classroom is heart breaking","4/15/18"
"142",142,142,"Kristy Jacobs",1,"RIP","4/14/18"
"143",143,143,"MR Blazers",0,"Dude holy shit","4/14/18"
"144",144,144,"Sophia Murray",0,"Why.","4/14/18"
"145",145,145,"Sapphire237",0,"Looking at this video, and I'm sitting here like ''Wow, I could've became him.'' 

Lucky enough I had my gf, and my mom by my side to help through my issues in high school. Because without them, I could've became him.","4/14/18"
"146",146,146,"Bubba Watene",0,"Fuckn monkey","4/14/18"
"147",147,147,"Time_Nerd !",0,"If you get offended or weak hearted then donÌâå_ÌâåÑÌÄåöt press read more. If you comment something like retarded or stupid we donÌâå_ÌâåÑÌÄåöt want it. But all jokes aside RIP to all the people we lost.






When the autistic kid thinks the school shooting is a dance party","4/14/18"
"148",148,148,"Rico Master",0,"Rip 2018 we will remember you....","4/14/18"
"149",149,149,"AyeeitzAudrey",0,"at my school, kids take their phones and it's really annoying because you could use the time you took to get your phone out to actually escape! i always say ""you're phone is replaceable... you are not.""","4/14/18"
"150",150,150,"Green Wave",1,"My parents told me that it was a struggle to send me to school...now sadly, I know why.

_ÌâåªÌÄå»_My heart goes to these peopl_ÌâåªÌÄå»_","4/14/18"
"151",151,151,"Misstery",0,"Why havenÌâå_ÌâåÑÌÄåöt they killed him yet? If it was a black person they wouldÌâå_ÌâåÑÌÄåöve killed him in a heart beat.","4/14/18"
"152",152,152,"Blitz 020",0,"wtf. sounded like the police took the other students. hands in the air for the students that are scared?! comon man","4/14/18"
"153",153,153,"ayyy lmao",0,"I have a kid in my class who likes Jake paul","4/14/18"
"154",154,154,"Schnierer aka Saiyan 2x",0,"Fuck Nikolas Cruz","4/14/18"
"155",155,155,"Schnierer aka Saiyan 2x",0,"Rest In Peace","4/14/18"
"156",156,156,"Awesomeandrew 65",0,"The kid who did this to these people looks like FrankensteinÌâå_ÌâåÑÌÄåös creators henchman","4/14/18"
"157",157,157,"irfan123100",0,"he got bullied so hard that he became the terminator","4/14/18"
"158",158,158,"Kiersten Niomi",0,"Yet he had no harm on him not even a scratch and if he was black or any other race he would have been shot in a minute. That just shows how messed up this society is .","4/14/18"
"159",159,159,"Martin Astudillo",0,"People be shooting up schools like it's a trend lmao","4/14/18"
"160",160,160,"Kristi Austin",1,"This was on valentines day 2","4/14/18"
"161",161,161,"Kristi Austin",1,"This is the most saddest thing ever.. I couldn't believe how if I was there I would probably be crying forever and ever till it was over because this is so sad_ÌâåªÌâåÉÌâå¢_ÌâåªÌâåÉÌâå¢ I'm so glad he went to custody because I wonder why he would shoot up a lot of kids what did they do???","4/14/18"
"162",162,162,"Mohamed Mossalek",0,"what the wrong with this country evry month there  is shooting","4/14/18"
"163",163,163,"PungentTrout213",0,"God I cannot believe this happened I feel bad for the ones who lost their friends and favorite teachers. Even the parents losing their children.  (R.I.P to the students and teachers that were killed)","4/13/18"
"164",164,164,"ElH0mbreRico",0,"Fucking hero, what a god","4/13/18"
"165",165,165,"Religion is Cancer",0,"TrumpÌâå_ÌâåÑÌÄåös America","4/13/18"
"166",166,166,"Lil Kunt",0,"When you get Enough of that bullying shit you willlose your mind","4/13/18"
"167",167,167,"Subscribe To GD PoisoN",0,"Donald Trump be like: We need more guns in America. Makes sense.



I nearly cried when I saw the footage though","4/13/18"
"168",168,168,"Elmo Small",0,"bit.ly/2qocuBanGuns","4/13/18"
"169",169,169,"___Ìâå±_ÌÄå¤_Ìâå__Ìâåâ_ÌâåµÌâåÜÌÄå_ÌâåÜÌâåÔ",0,"Honestly the comments on this video are disgusting, people degrading a human life.","4/13/18"
"170",170,170,"Armani aka hops 90s kid smith",0,"What a moron","4/13/18"
"171",171,171,"Cameron Forbes",0,"I hate how no one cares about y the shooter did it but if he commited suicide or some shit it wont matter its a oh ok suicide cool but as soon as people start fucking with this kid being assholes they wanna act all innocent when there in a shooting","4/13/18"
"172",172,172,"My British Tea bag",0,"Yeah this was awesome can't wait for the next school shooting","4/13/18"
"173",173,173,"Sir Toasty",0,"The ting goes skrrrahh, pap, pap, ka-ka-ka
Skidiki-pap-pap, and a pu-pu-pudrrrr-boom
Skya, du-du-ku-ku-dun-dun
Poom, poom, you dun know","4/13/18"
"174",174,174,"BackWoods Outlaw",0,"Come at me with a gun at anytime in my life and I will break your neck and every fucking bone in your body","4/13/18"
"175",175,175,"abidab",0,"If anyone else is scared of getting shot at their school, reply to this comment and just say Ìâå_ÌâåÑÌâåÉmeÌâå_ÌâåÑÌÄåö, I just want to see how many there are because I know IÌâå_ÌâåÑÌÄåöm terrified _ÌâåªÌâåÉÌÄå_","4/13/18"
"176",176,176,"I LOVE ROBLOX",0,"This made me so emotional...","4/13/18"
"177",177,177,"M050 Is The Best",0,"Somebody stop him he is turning them into yamucha (dbz reference)","4/13/18"
"178",178,178,"Neo Machine",0,"""Hey, how should we fix this?""
""Let's throw more guns at the problem, see if that makes it go away.""","4/13/18"
"179",179,179,"Adam Skead",0,"17 people out of over 3 thousand students in that giant school?","4/13/18"
"180",180,180,"BibbyWumo",0,":(","4/13/18"
"181",181,181,"#Unicorn Squad",0,"Imagine just standing there watching your friend on the floor with blood pouring out of them,what vial humans for think of that,poor innocent lives gone","4/13/18"
"182",182,182,"Anonymous Anonymous",1,"I'm just sooo _ÌâåªÌâåÉ__ÌâåªÌâåÉÌâå¢_ÌâåªÌâåÉÌâåµ_ÌâåªÌâåÉÌÄåÊ_ÌâåªÌâåÉÌâå£_ÌâåªÌâåÉ_ that those 17 kids got killed _ÌâåªÌâåÓÌÄå¢ fun#in boy he deserves being in jail for killing 17 kids _ÌâåªÌâåÉÌâåÓ_ÌâåªÌâåÉÌâåÓ_ÌâåªÌâåÉÌâåÓ_ÌâåªÌâåÉÌâåÓI'm soo sorry that high school that happened to you and Florida  school kids I'm _ÌâåªÌâåÉÌâåÓsorry if one of those were your friends_ÌâåªÌâå¥__ÌâåªÌâå¥ÌâåÎ_ÌâåªÌâå¥ÌÄå¢ and diedÌâå__ÌÄå¤stay safe Florida,school ,and kids","4/13/18"
"183",183,183,"Niknjayjack",0,"This is why Canada is better","4/12/18"
"184",184,184,"Cat Hunter",0,"What did these students do to the criminal. This is wrong.","4/12/18"
"185",185,185,"TimeForRandomStuff",0,"I DONT GET THIS IF THAT WAS A BLACK MALE U WOULD OF HAVE SHOT HIM.and if he WAS WHITE EVEN THO HE HAS A GUN U STILL WOULD NOT SHOOT HIM_ÌâåªÌâåÉÌâå_ÌâåªÌâåÉÌâå_ÌâåªÌâåÉ_","4/12/18"
"186",186,186,"coltrain Dontworryboutit",0,"No body cares about this fucking Florida shooting anymore. It was a big deal for a week, thatÌâå_ÌâåÑÌÄåös it... What makes this Florida school so much more important than the other shootings? This world is cruel. Deal with it. Move on.","4/12/18"
"187",187,187,"Sma 556",0,"Gun Control, the medias biggest hoax.","4/12/18"
"188",188,188,"MacGyver 07952",0,"Legendary Scar Destruction _ÌâåªÌâåÉ_","4/12/18"
"189",189,189,"Teddy Bear",0,"good memes","4/12/18"
"190",190,190,"Ludwig Van Beethoven",0,"Deflate Them Kicks","4/12/18"
"191",191,191,"reptiliano annunaki",0,"LIAR","4/12/18"
"192",192,192,"Husky YT",0,"Florida already went to through a hurricane, now a school shooting?! #SaveFlorida","4/12/18"
"193",193,193,"Sylas the Great",0,"The way girls cry is so annoying! They see someone dead and freak out! It's natural, Jesus these people are sheltered!","4/12/18"
"194",194,194,"choco lady",0,"1:28
is she alive ? The girl","4/12/18"
"195",195,195,"Sebastian Venegas",0,"The deputies are fucking cowards. How the fuck could they let that happen? They were right outside the school and they could've stopped him before he took other lives. The teens blood is on their hands as well as the FBI and Emma","4/12/18"
