"","X.1","X","all_comments.authorDisplayName","all_comments.likeCount","all_comments.textOriginal","all_comments.publishedAt"
"641",641,641,"John Montes",0,"Actually hunting rifles have more power then the gun he used. Many shooters choose this hunting rifle to get more attention simply because it is a black gun. Also you are all ignoring the fact the FBI ignored warnings. They've foiled domestic terrorist before but it seems they were too busy finding out if trump payed to have sex with a porn star or something..which nobody cared if he did.","4/17/18"
"642",642,642,"Thor, Son of Odin",1,"That won't change anything. People will just get it off the deep web","4/5/18"
"643",643,643,"Sharif Brown",3,"Mona Suzuki, while that is true, another reality is the students put the shooter through hell and now they had to face the consequences. Me personally, I don't feel bad for them.","4/4/18"
"644",644,644,"JJ Gamer",0,"Jose Silva it will be a Great year I promise *hugs*","4/21/18"
"645",645,645,"Honest Vega",0,"Jose Silva 
2018 is a busy year in my life.
No I'm not a grown up but I think this is what the year is","4/19/18"
"646",646,646,"freddy James",0,"Hahahahaha_ÌâåªÌâåÉÌÄå__ÌâåªÌâåÉÌÄå__ÌâåªÌâåÉÌÄå_","4/18/18"
"647",647,647,"Armani aka hops 90s kid smith",0,"Jose Silva not as bad as 2016.","4/13/18"
"648",648,648,"Reckno64",0,"Every year is worse than the last.....or so it seems.","4/11/18"
"649",649,649,"whoareyou",0,"Yep, that's exactly why.","4/20/18"
"650",650,650,"Spearwood ***",0,"He deserves to suffer.","4/19/18"
"651",651,651,"Jose Silva",0,"whoareyou WHAT","4/18/18"
"652",652,652,"whoareyou",0,"Jose Silva TheyÌâå_ÌâåÑÌÄåöre not giving him one, theyÌâå_ÌâåÑÌÄåöre making him suffer.","4/18/18"
"653",653,653,"Mastnaer Ceef",0,"O O F","4/2/18"
"654",654,654,"TurkeyWiing Guru",0,"Including blacks","4/21/18"
"655",655,655,"NotMorne",1,"Mingok its kind of not but HEY make your dreams come true","4/19/18"
"656",656,656,"A Youtube Account",0,"Sweet Niya ahhh there's always a reason","4/14/18"
"657",657,657,"Mingok",0,"Sweet Niya is that normal that i want to go to some town, shoot random people and cut their throats?","4/11/18"
"658",658,658,"Sled hijacker",0,"I feel bad for Nikolas Cruz, in the mindset he was in this was the only option he felt was right. I don't blame anything on him.","4/8/18"
"659",659,659,"Aesthetic Salmon",0,"Well, as a person with various mental problems, I wouldn't shoot a fucking school.

If they don't have guns, how will they shoot people with guns??? What????","4/21/18"
"660",660,660,"Lord of Cinder",0,"Burak Sarikaya takes one to know one you psychopath","4/20/18"
"661",661,661,"Lord of Cinder",0,"cm g yup","4/20/18"
"662",662,662,"Colin Hallett",1,"cm g you are sooo right bro, I have been bullied from my years in high school, and all I could think about is vengeance...","4/19/18"
"663",663,663,"Aryee Vang",0,"You are right.","4/18/18"
"664",664,664,"Creppy",1,"A bit too harsh, if you ask me, pump gang.","4/13/18"
"665",665,665,"pump gang",0,"leo fait la comÌâåÕÌâå©die Kill yourself","4/13/18"
"666",666,666,"Creppy",0,"What?I'm sorry, I can't understand you.","4/12/18"
"667",667,667,"leo fait la comÌâåÕÌâå©die",1,"Creppy when a student can come To school with gun. ..","4/12/18"
"668",668,668,"Creppy",0,"But why?","4/12/18"
"669",669,669,"Andy Milsten",0,"Daniel 22811 me too!!!","4/14/18"
"670",670,670,"Mingok",0,"Daniel 22811 peace is boring","4/11/18"
"671",671,671,"pump gang",2,"Daniel 22811 *hahaha FUCK OFF*","4/11/18"
"672",672,672,"ImperfectGun",0,"I really wish that too but there are some mentally ill people in the whole wide world it's nearly impossible to do that","4/8/18"
"673",673,673,"Parry Jungler",0,"ElH0mbreRico thats just implies how impulsive he is. He rather see the chaos caused by his actions at the risk of getting caught instead of running.","4/18/18"
"674",674,674,"theo mckenna",0,"pump gang _ÌâåªÌÄå»ÌâåÑ_ÌâåªÌâåÉÌÄå_","4/18/18"
"675",675,675,"ÌâåÀÌâåâÌâå»_ÌâåÀÌÄåâ ÌâåÀÌâåÎÌâå»_ÌâåÀÌâåÎÌâå»ÌÄåÏ",0,"Vera Wang not that new. My old high school had to cancel a fire drill for fear that a shooting was going to happen.","4/17/18"
"676",676,676,"ANTIV",0,"pump gang hahaha... dat fucked uo tho","4/16/18"
"677",677,677,"Lord of Cinder",0,"Vera Wang yet so clever","4/14/18"
"678",678,678,"Elizabeth Martinez",0,"Itzyogirlnicki:D we did something similar in my school cause I live in florida","4/18/18"
"679",679,679,"c0lor1zed",0,"ElH0mbreRico Seventeen faggots that did not deserve to die.","4/14/18"
"680",680,680,"ElH0mbreRico",0,"17 fags owned and humilliated kek","4/13/18"
"681",681,681,"c0lor1zed",0,"MoralSingularity now i know why u named urself that","4/5/18"
"682",682,682,"alexofficial",1,"fuck you all, death isn't a joke","4/15/18"
"683",683,683,"Gaming Wins",0,"Faris Zurub lmao","4/7/18"
"684",684,684,"Mingok",0,"Lilly Shearer why everyone in the comments are crying and shit?","4/11/18"
