"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"1","2ELk1S-A5qc","2012-12-14T23:06:20.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","Shooting at Connecticut School Leaves Dozens Dead","A gunman opened fire at a Connecticut elementary school where his mother worked, killing 26 people, including 20 children. The shooter was found dead inside the school and another person was...","https://i.ytimg.com/vi/2ELk1S-A5qc/default.jpg","120","90","https://i.ytimg.com/vi/2ELk1S-A5qc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2ELk1S-A5qc/hqdefault.jpg","480","360","Wall Street Journal","none"
"2","edP82lX79ns","2012-12-14T22:51:02.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","Law-Enforcement Officials React to School Shooting","What are law-enforcement officials saying about the school shooting in Connecticut? Devlin Barrett has details on The News Hub.","https://i.ytimg.com/vi/edP82lX79ns/default.jpg","120","90","https://i.ytimg.com/vi/edP82lX79ns/mqdefault.jpg","320","180","https://i.ytimg.com/vi/edP82lX79ns/hqdefault.jpg","480","360","Wall Street Journal","none"
"3","d9hp8FTkgK4","2012-12-14T20:26:29.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","Connecticut Hospital Deals With School Shooting","Andrea Rynn of Danbury Hospital joins Clemency Burton-Hill and Simon Constable with the latest on a shooting at a Connecticut school that left at least 25 people dead. Photo: Getty Images....","https://i.ytimg.com/vi/d9hp8FTkgK4/default.jpg","120","90","https://i.ytimg.com/vi/d9hp8FTkgK4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/d9hp8FTkgK4/hqdefault.jpg","480","360","Wall Street Journal","none"
"4","w-vOICHuUvc","2012-12-14T22:17:27.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","'Columbine' Author on School Shooting","David Cullen, author of the book ""Columbine,"" joins The News Hub to discuss what would cause someone to commit a mass shooting such as the one that left at least two dozen dead at a Connecticut...","https://i.ytimg.com/vi/w-vOICHuUvc/default.jpg","120","90","https://i.ytimg.com/vi/w-vOICHuUvc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/w-vOICHuUvc/hqdefault.jpg","480","360","Wall Street Journal","none"
"5","tKr3eU2m1x4","2012-12-17T18:28:31.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","Funerals for First Two Shooting Victims to Be Held - Newtown School Shooting","In Newtown, Conn., funerals for the first two victims in the Sandy Hook Elementary School shooting are being held. Clemency Burton-Hill reports. Photo: Getty Images. Subscribe to the WSJ Live...","https://i.ytimg.com/vi/tKr3eU2m1x4/default.jpg","120","90","https://i.ytimg.com/vi/tKr3eU2m1x4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/tKr3eU2m1x4/hqdefault.jpg","480","360","Wall Street Journal","none"
"6","D6aMf1pv0d0","2012-12-17T17:07:19.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","Sen. Lieberman on Gun Debate After Sandy Hook - Newtown School Shooting","Connecticut Sen. Joseph Lieberman joins the Markets Hub to discuss renewed calls for gun control following the Sandy Hook school shooting. Photo: Getty Images. Subscribe to the WSJ Live YouTube...","https://i.ytimg.com/vi/D6aMf1pv0d0/default.jpg","120","90","https://i.ytimg.com/vi/D6aMf1pv0d0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/D6aMf1pv0d0/hqdefault.jpg","480","360","Wall Street Journal","none"
"7","oHfVgFQXceE","2012-12-17T20:51:33.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","No Connection Between Shooter, Sandy Hook School","Connecticut officials say there is no connection between the shooter who killed more than two dozen people and Sandy Hook Elementary School. Clemency Burton-Hill reports. Photo: AP. Subscribe...","https://i.ytimg.com/vi/oHfVgFQXceE/default.jpg","120","90","https://i.ytimg.com/vi/oHfVgFQXceE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/oHfVgFQXceE/hqdefault.jpg","480","360","Wall Street Journal","none"
"8","WEezFOzB2M4","2012-12-14T23:01:51.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","How Children Experience Traumatic Events","Dr. John Walkup, director of child and adolescent psychiatry at New York Presbyterian Hospital, discusses how children may be dealing with traumatic events such as the school shooting in Connecticu...","https://i.ytimg.com/vi/WEezFOzB2M4/default.jpg","120","90","https://i.ytimg.com/vi/WEezFOzB2M4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WEezFOzB2M4/hqdefault.jpg","480","360","Wall Street Journal","none"
"9","-8pNvJX-Yyc","2012-12-14T21:37:12.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","President Obama Reacts to Connecticut Shooting","In a news conference at the White House, an emotional President Barack Obama reacts to a shooting at a Connecticut elementary school that has left at least 25 people dead.","https://i.ytimg.com/vi/-8pNvJX-Yyc/default.jpg","120","90","https://i.ytimg.com/vi/-8pNvJX-Yyc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-8pNvJX-Yyc/hqdefault.jpg","480","360","Wall Street Journal","none"
"10","XbkKhbXGrgI","2012-12-14T19:29:54.000Z","UCK7tptUDHh-RYDsdxO1-5QQ","Officials Give Details Connecticut Shooting","Paul Vance of Connecticut State Police and Roy Occhiogrosso, a spokesman for Connecticut Gov. Dannel Malloy, give details on a shooting at a school Friday that killed at least 25 people. Photo:...","https://i.ytimg.com/vi/XbkKhbXGrgI/default.jpg","120","90","https://i.ytimg.com/vi/XbkKhbXGrgI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/XbkKhbXGrgI/hqdefault.jpg","480","360","Wall Street Journal","none"
