"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"1","BnR_W15Bmhs","2017-04-11T03:25:21.000Z","UCJmSX7ghommK3pwMLGNUvPA","Teacher, Boy Killed After Man Opens Fire In San Bernardino School","A man walked into his estranged wife's elementary school classroom in San Bernardino, California and opened fire. He killed her and an eight-year-old student, before shooting himself in a murder-su...","https://i.ytimg.com/vi/BnR_W15Bmhs/default.jpg","120","90","https://i.ytimg.com/vi/BnR_W15Bmhs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/BnR_W15Bmhs/hqdefault.jpg","480","360","Wochit News","none"
"2","3r7alpnf3ks","2017-04-11T21:31:52.000Z","UCJmSX7ghommK3pwMLGNUvPA","Boy Killed In School Shooting Had Williams Syndrome","According to a school official on Tuesday, An 8-year-old boy shot and killed along with his teacher in a San Bernardino classroom was born with a genetic condition and had survived heart surgery....","https://i.ytimg.com/vi/3r7alpnf3ks/default.jpg","120","90","https://i.ytimg.com/vi/3r7alpnf3ks/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3r7alpnf3ks/hqdefault.jpg","480","360","Wochit News","none"
"3","Be9rFmghJ0w","2017-04-17T16:58:40.000Z","UCJmSX7ghommK3pwMLGNUvPA","California Elementary School Resumes Classes After Shooting","With plenty of police standing guard, students returned to a San Bernardino elementary school Monday morning for the first time since a gunman took the life of his estranged wife and an 8-year-old...","https://i.ytimg.com/vi/Be9rFmghJ0w/default.jpg","120","90","https://i.ytimg.com/vi/Be9rFmghJ0w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Be9rFmghJ0w/hqdefault.jpg","480","360","Wochit News","none"
"4","WctLOsO1JZU","2017-04-13T22:47:32.000Z","UCJmSX7ghommK3pwMLGNUvPA","San Bernardino Tries To Recover After School Shooting","On Monday morning, Navy veteran Cedric Anderson walked into the special education classroom of his wife Karen Smith and opened fire on her, striking two students in the process. Anderson fired...","https://i.ytimg.com/vi/WctLOsO1JZU/default.jpg","120","90","https://i.ytimg.com/vi/WctLOsO1JZU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WctLOsO1JZU/hqdefault.jpg","480","360","Wochit News","none"
"5","DDAkhKkCEd8","2017-04-11T13:23:05.000Z","UCJmSX7ghommK3pwMLGNUvPA","Parents Reunite With Children Following Shooting","SAN BERNARDINO, Calif. (AP) — The Latest on a shooting at an elementary school in San Bernardino (all times local): 2:30 p.m. Some students are being reunited with their parents after a shooting...","https://i.ytimg.com/vi/DDAkhKkCEd8/default.jpg","120","90","https://i.ytimg.com/vi/DDAkhKkCEd8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DDAkhKkCEd8/hqdefault.jpg","480","360","Wochit News","none"
"6","9H-BOgVE6gQ","2017-02-15T04:26:18.000Z","UC8p1vwvWtl6T73JiExfWs1g","Fatal Chicago shooting captured on Facebook Live","Police are searching for the gunman who fatally shot two people and wounded one more in a Chicago alley. The incident was captured in a Facebook Live video. CBSN is the first digital streaming...","https://i.ytimg.com/vi/9H-BOgVE6gQ/default.jpg","120","90","https://i.ytimg.com/vi/9H-BOgVE6gQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9H-BOgVE6gQ/hqdefault.jpg","480","360","CBS News","none"
"7","QaMkoDj1uwk","2017-04-12T11:28:32.000Z","UCJmSX7ghommK3pwMLGNUvPA","Veteran Kills Wife When He Is Unable To Save Their Marriage","SAN BERNARDINO, Calif. (AP) — The man who opened fire in a San Bernardino school was a deeply religious Navy veteran who accused his newlywed wife of infidelity. They had separated and when...","https://i.ytimg.com/vi/QaMkoDj1uwk/default.jpg","120","90","https://i.ytimg.com/vi/QaMkoDj1uwk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/QaMkoDj1uwk/hqdefault.jpg","480","360","Wochit News","none"
"8","-guWKv_r-uU","2017-06-30T16:30:00.000Z","UCQ-hpFPF4nOKoKPEAZM_THw","Top 10 Incredible Stories of REAL LIFE COPS Turning Into ACTION HEROES","When we see cops in the news, it's usually in the context of something bad. The shooting of an unarmed witness. Alleged corruption. Even an attack on cops themselves. But there's another,...","https://i.ytimg.com/vi/-guWKv_r-uU/default.jpg","120","90","https://i.ytimg.com/vi/-guWKv_r-uU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-guWKv_r-uU/hqdefault.jpg","480","360","TopTenz","none"
"9","uSOl9j3f79U","2017-06-12T20:20:35.000Z","UCJmSX7ghommK3pwMLGNUvPA","Former Fox Employee Megyn Kelly To Interview Sandy Hook Massacre Denier","The families of some Sandy Hook shooting victims are angered that NBC is airing an interview by former Fox News employee Megyn Kelly with Alex Jones. Jones is a conspiracy theorist who has...","https://i.ytimg.com/vi/uSOl9j3f79U/default.jpg","120","90","https://i.ytimg.com/vi/uSOl9j3f79U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/uSOl9j3f79U/hqdefault.jpg","480","360","Wochit News","none"
"10","vKsiU6e33HE","2017-02-23T20:48:54.000Z","UCEuMQ0H-7VYfox21BvmjjsQ","Body cam footage from Christmas Day shooting","An Oregon State Police trooper suffered life-threatening injuries after a Christmas Day shootout near Sherwood that resulted in the death of a man suspected in an earlier homicide, the Washington...","https://i.ytimg.com/vi/vKsiU6e33HE/default.jpg","120","90","https://i.ytimg.com/vi/vKsiU6e33HE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vKsiU6e33HE/hqdefault.jpg","480","360","The Oregonian","none"
